profile_name,reach_right,reach_left,allocator,seed,total_time,repositions,unreachable,deliveries,strong_side_fraction,mean_handoff_excess,total_robot_distance,h_idle,r_idle,c_act,f_del
baseline_test,0.8,0.25,stigmergic,271,22.4,0,0,5,1.0,0.0,39.7574,0.8304,0.0,0.1696,0.0
baseline_test,0.8,0.25,stigmergic,314,21.2,0,0,5,1.0,0.0,37.4051,0.8113,0.0,0.1887,0.0
baseline_test,0.8,0.25,stigmergic,628,20.6,0,0,5,1.0,0.0,36.4728,0.8155,0.0,0.1845,0.0
baseline_test,0.8,0.25,stigmergic,1024,25.3,0,0,5,1.0,0.0,44.6974,0.8458,0.0,0.1542,0.0
baseline_test,0.8,0.25,stigmergic,1729,20.6,0,0,5,1.0,0.0,36.4599,0.8155,0.0,0.1845,0.0
baseline_test,0.8,0.25,stigmergic,2718,18.9,0,0,5,1.0,0.0,33.368,0.7143,0.0,0.2857,0.0
baseline_test,0.8,0.25,stigmergic,3141,27.5,0,0,5,1.0,0.0,48.991,0.8036,0.0,0.1964,0.0
baseline_test,0.8,0.25,stigmergic,6283,23.9,0,0,5,1.0,0.0,42.4572,0.841,0.0,0.159,0.0
severe,0.9,0.15,baseline,42,16.85,1,1,5,0.8,0.0917,23.1684,0.716,0.0059,0.2781,0.0
severe,0.9,0.15,baseline,137,16.85,1,1,5,0.8,0.0917,23.1684,0.716,0.0059,0.2781,0.0
severe,0.9,0.15,baseline,271,16.85,1,1,5,0.8,0.0917,23.1684,0.716,0.0059,0.2781,0.0
severe,0.9,0.15,baseline,314,16.85,1,1,5,0.8,0.0917,23.1684,0.716,0.0059,0.2781,0.0
severe,0.9,0.15,baseline,628,16.85,1,1,5,0.8,0.0917,23.1684,0.716,0.0059,0.2781,0.0
severe,0.9,0.15,baseline,1024,16.85,1,1,5,0.8,0.0917,23.1684,0.716,0.0059,0.2781,0.0
severe,0.9,0.15,baseline,1729,16.85,1,1,5,0.8,0.0917,23.1684,0.716,0.0059,0.2781,0.0
severe,0.9,0.15,baseline,2718,16.85,1,1,5,0.8,0.0917,23.1684,0.716,0.0059,0.2781,0.0
severe,0.9,0.15,baseline,3141,16.85,1,1,5,0.8,0.0917,23.1684,0.716,0.0059,0.2781,0.0
severe,0.9,0.15,baseline,6283,16.85,1,1,5,0.8,0.0917,23.1684,0.716,0.0059,0.2781,0.0
severe,0.9,0.15,adaptive,42,18.35,0,0,5,0.6,0.0,24.2564,0.7174,0.0054,0.2772,0.0
severe,0.9,0.15,adaptive,137,18.35,0,0,5,0.6,0.0,24.2564,0.7174,0.0054,0.2772,0.0
severe,0.9,0.15,adaptive,271,18.35,0,0,5,0.6,0.0,24.2564,0.7174,0.0054,0.2772,0.0
severe,0.9,0.15,adaptive,314,18.35,0,0,5,0.6,0.0,24.2564,0.7174,0.0054,0.2772,0.0
severe,0.9,0.15,adaptive,628,18.35,0,0,5,0.6,0.0,24.2564,0.7174,0.0054,0.2772,0.0
severe,0.9,0.15,adaptive,1024,18.35,0,0,5,0.6,0.0,24.2564,0.7174,0.0054,0.2772,0.0
severe,0.9,0.15,adaptive,1729,18.35,0,0,5,0.6,0.0,24.2564,0.7174,0.0054,0.2772,0.0
severe,0.9,0.15,adaptive,2718,18.35,0,0,5,0.6,0.0,24.2564,0.7174,0.0054,0.2772,0.0
severe,0.9,0.15,adaptive,3141,18.35,0,0,5,0.6,0.0,24.2564,0.7174,0.0054,0.2772,0.0
severe,0.9,0.15,adaptive,6283,18.35,0,0,5,0.6,0.0,24.2564,0.7174,0.0054,0.2772,0.0
severe,0.9,0.15,stigmergic,42,32.25,0,0,3,1.0,0.0,204.806,0.9867,0.0,0.0133,0.0
severe,0.9,0.15,stigmergic,137,7.6,0,0,2,1.0,0.0,46.4247,0.992,0.0,0.008,0.0
severe,0.9,0.15,stigmergic,271,7.65,0,0,2,1.0,0.0,37.2853,0.992,0.0,0.008,0.0
severe,0.9,0.15,stigmergic,314,7.65,0,0,2,1.0,0.0,46.1963,0.992,0.0,0.008,0.0
severe,0.9,0.15,stigmergic,628,21.3,0,0,3,1.0,0.0,210.2491,0.987,0.0,0.013,0.0
severe,0.9,0.15,stigmergic,1024,7.65,0,0,2,1.0,0.0,29.306,0.992,0.0,0.008,0.0
severe,0.9,0.15,stigmergic,1729,21.3,0,0,3,1.0,0.0,209.331,0.987,0.0,0.013,0.0
severe,0.9,0.15,stigmergic,2718,17.85,0,0,3,1.0,0.0,198.2909,0.9873,0.0,0.0127,0.0
severe,0.9,0.15,stigmergic,3141,7.35,0,0,2,1.0,0.0,68.6047,0.9927,0.0,0.0073,0.0
severe,0.9,0.15,stigmergic,6283,24.6,0,0,3,1.0,0.0,211.8132,0.987,0.0,0.013,0.0
extreme,1.0,0.1,baseline,42,16.85,1,1,5,0.8,0.1017,23.1684,0.716,0.0059,0.2781,0.0
extreme,1.0,0.1,baseline,137,16.85,1,1,5,0.8,0.1017,23.1684,0.716,0.0059,0.2781,0.0
extreme,1.0,0.1,baseline,271,16.85,1,1,5,0.8,0.1017,23.1684,0.716,0.0059,0.2781,0.0
extreme,1.0,0.1,baseline,314,16.85,1,1,5,0.8,0.1017,23.1684,0.716,0.0059,0.2781,0.0
extreme,1.0,0.1,baseline,628,16.85,1,1,5,0.8,0.1017,23.1684,0.716,0.0059,0.2781,0.0
extreme,1.0,0.1,baseline,1024,16.85,1,1,5,0.8,0.1017,23.1684,0.716,0.0059,0.2781,0.0
extreme,1.0,0.1,baseline,1729,16.85,1,1,5,0.8,0.1017,23.1684,0.716,0.0059,0.2781,0.0
extreme,1.0,0.1,baseline,2718,16.85,1,1,5,0.8,0.1017,23.1684,0.716,0.0059,0.2781,0.0
extreme,1.0,0.1,baseline,3141,16.85,1,1,5,0.8,0.1017,23.1684,0.716,0.0059,0.2781,0.0
extreme,1.0,0.1,baseline,6283,16.85,1,1,5,0.8,0.1017,23.1684,0.716,0.0059,0.2781,0.0
extreme,1.0,0.1,adaptive,42,18.5,0,0,5,0.6,0.0,24.3692,0.7189,0.0,0.2811,0.0
extreme,1.0,0.1,adaptive,137,18.5,0,0,5,0.6,0.0,24.3692,0.7189,0.0,0.2811,0.0
extreme,1.0,0.1,adaptive,271,18.5,0,0,5,0.6,0.0,24.3692,0.7189,0.0,0.2811,0.0
extreme,1.0,0.1,adaptive,314,18.5,0,0,5,0.6,0.0,24.3692,0.7189,0.0,0.2811,0.0
extreme,1.0,0.1,adaptive,628,18.5,0,0,5,0.6,0.0,24.3692,0.7189,0.0,0.2811,0.0
